type: 1, father: pid: 1299, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.2, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1299, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.2, label1: FT1  The file contains data from network., labeltime: 1618985521583000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1325, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.3, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1325, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.3, label1: FT1  The file contains data from network., labeltime: 1618985583599000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1328, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.4, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1328, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.4, label1: FT1  The file contains data from network., labeltime: 1618985688919000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1332, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.5, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1332, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.5, label1: FT1  The file contains data from network., labeltime: 1618985791614000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1335, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.6, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1335, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.6, label1: FT1  The file contains data from network., labeltime: 1618985881630000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1337, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.7, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1337, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.7, label1: FT1  The file contains data from network., labeltime: 1618985934568000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1339, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.8, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1339, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.8, label1: FT1  The file contains data from network., labeltime: 1618985993906000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1341, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.9, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1341, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.9, label1: FT1  The file contains data from network., labeltime: 1618986048589000000, grammar: PT1,1,FT1,D
type: 15, father: pid: 935, processname: , label0: PT7  The uploaded file is mmap.(webshell), son: filepath: /var/www/html/uploads/b.php, label1: FT7  The file is uploaded.(webshell), labeltime: 1618986121320000000, grammar: PT7,15,FT7,R
type: 1, father: pid: 1368, processname: sh, label0: PT9  Execute any command.(webshell), son: filepath: /tmp/cleanup.sh, label1: FT9  The File is written by webshell., labeltime: 1653025665015, grammar: PT9,1,FT9,D
type: 0, father: pid: 1374, processname: sh, label0: PT8  The uploaded file is read.(webshell), son: filepath: /tmp/cleanup.sh, label1: FT9  The File is written by webshell., labeltime: 1653025665015, grammar: PT8,0,FT9,R
type: 1, father: pid: 1378, processname: sh, label0: PT9  Execute any command.(webshell), son: filepath: /etc/crontab, label1: FT9  The File is written by webshell., labeltime: 1653025665015, grammar: PT9,1,FT9,D
type: 1, father: pid: 1378, processname: sh, label0: PS1  Persistent Stronghold, son: filepath: /etc/crontab, label1: FS1  crontab, labeltime: 1618986166123000000, grammar: PS1,1,FS1,R
type: 0, father: pid: 1381, processname: cat, label0: PT2  The process read sensitive information., son: filepath: /etc/sudoers, label1: FT2  The file is sensitive as default., labeltime: 1618986648760000000, grammar: PT2,0,FT2,R
type: 1, father: pid: 1378, processname: sh, label0: PT9  Execute any command.(webshell), son: filepath: /etc/sudoers, label1: FT9  The File is written by webshell., labeltime: 1653025665015, grammar: PT9,1,FT9,D
type: 1, father: pid: 1378, processname: sh, label0: PS1  Persistent Stronghold, son: filepath: /etc/sudoers, label1: FS5  high price file, labeltime: 1618986166123000000, grammar: PS3/PS1,1,FS5,D
type: 1, father: pid: 1378, processname: sh, label0: PS2  Privilege Escalation, son: filepath: /etc/sudoers, label1: FS2  sudoers, labeltime: 1618986648760000000, grammar: PS2,1,FS2,R
type: 0, father: pid: 1383, processname: cat, label0: PT2  The process read sensitive information., son: filepath: /etc/passwd, label1: FT2  The file is sensitive as default., labeltime: 1618985500876000000, grammar: PT2,0,FT2,R
type: 0, father: pid: 1383, processname: cat, label0: PS3  Credential Access (CA), son: filepath: /etc/passwd, label1: FS3  passwd, labeltime: 1618985500876000000, grammar: PS3,0,FS3,R
type: 0, father: pid: 1384, processname: cat, label0: PS4  Information Collection (IC), son: filepath: /home/manager/.bash_history, label1: FS4  bash_history, labeltime: 1618986697596000000, grammar: PS4,0,FS4,R
type: 1, father: pid: 1378, processname: sh, label0: PS4  Information Collection (IC), son: filepath: /home/manager/secret, label1: FS5  high price file, labeltime: 1618986697596000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1378, processname: sh, label0: PT9  Execute any command.(webshell), son: filepath: /home/manager/secret, label1: FT9  The File is written by webshell., labeltime: 1653025665015, grammar: PT9,1,FT9,D
type: 0, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /home/spade/.bash_history, label1: FS4  bash_history, labeltime: 1618985500948000000, grammar: PS4,0,FS4,R
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-200574468, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 0, father: pid: 1410, processname: bash, label0: PS5  Data Exfiltration, son: filepath: /tmp/sh-thd-200574468, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS5,0,FS5,R
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-1173220527, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-2409136721, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-4722626487, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-9230876760, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-18075262760, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-34899388799, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-69835049335, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-140778491565, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-282000696061, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1410, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-562850356776, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 0, father: pid: 1463, processname: cat, label0: PT8  The uploaded file is read.(webshell), son: filepath: /home/manager/secret, label1: FT9  The File is written by webshell., labeltime: 1653025665015, grammar: PT8,0,FT9,R
type: 0, father: pid: 1259, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /home/spade/.bash_history, label1: FS4  bash_history, labeltime: 1618985500948000000, grammar: PS4,0,FS4,R
type: 1, father: pid: 1259, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /dev/null, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1259, processname: bash, label0: PS4  Information Collection (IC), son: filepath: /tmp/sh-thd-200573869, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 0, father: pid: 1259, processname: bash, label0: PS5  Data Exfiltration, son: filepath: /tmp/sh-thd-200573869, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS5,0,FS5,R
type: 1, father: pid: 1299, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.2, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1299, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.2, label1: FT1  The file contains data from network., labeltime: 1618985521583000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1325, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.3, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
type: 1, father: pid: 1325, processname: wget, label0: PT1  The process has network connections., son: filepath: /home/spade/git/bigrat.json.3, label1: FT1  The file contains data from network., labeltime: 1618985583599000000, grammar: PT1,1,FT1,D
type: 1, father: pid: 1328, processname: wget, label0: PS4  Information Collection (IC), son: filepath: /home/spade/git/bigrat.json.4, label1: FS5  high price file, labeltime: 1618985500948000000, grammar: PS4/PS2,1,FS5,D
